T,m,m1,m2,m4
0.02,-5e-06,1,1,1
0.04,-5e-06,1,1,1
0.06,-5e-06,1,1,1
0.08,-5e-06,1,1,1
0.1,-5e-06,1,1,1
0.12,-5e-06,1,1,1
0.14,-5e-06,1,1,1
0.16,-5e-06,1,1,1
0.18,-5e-06,1,1,1
0.2,-5e-06,1,1,1
0.22,-5e-06,1,1,1
0.24,-5.05859e-06,1,0.999999,0.999998
0.26,-4.94141e-06,0.999999,0.999999,0.999998
0.28,-4.88281e-06,0.999998,0.999996,0.999991
0.3,1.08789e-05,0.999994,0.999989,0.999978
0.32,-6.28906e-06,0.999991,0.999982,0.999963
0.34,-5e-06,0.999977,0.999955,0.99991
0.36,-5.29297e-06,0.999956,0.999912,0.999826
0.38,5.19531e-06,0.999912,0.999825,0.999652
0.4,-6.28906e-06,0.999861,0.999722,0.999448
0.42,-2.71484e-06,0.999774,0.99955,0.999105
0.44,2.10742e-05,0.999648,0.999298,0.998606
0.46,-3.2832e-05,0.999457,0.998917,0.997849
0.48,0.000109199,0.999223,0.998452,0.996925
0.5,6.66016e-06,0.998912,0.997833,0.995699
0.52,-0.000110938,0.998496,0.997004,0.994055
0.54,7.57422e-05,0.997976,0.99597,0.992009
0.56,-1.17969e-05,0.997277,0.994579,0.98926
0.58,3.39062e-05,0.996455,0.992948,0.986043
0.6,-1.36133e-05,0.995471,0.990995,0.982199
0.62,0.000458711,0.994171,0.988419,0.977138
0.64,-7.8125e-08,0.992705,0.985519,0.971466
0.66,-0.000249746,0.990962,0.982077,0.964749
0.68,8.77539e-05,0.988848,0.977912,0.956665
0.7,0.000321367,0.986245,0.972799,0.946797
0.72,0.000242031,0.983377,0.96718,0.936007
0.74,3.2793e-05,0.979817,0.960235,0.92278
0.76,-0.000693359,0.975793,0.952419,0.908028
0.78,0.000112539,0.971008,0.943172,0.890741
0.8,-0.000346367,0.965371,0.932358,0.870807
0.82,0.000242676,0.95853,0.919331,0.847134
0.84,0.000358867,0.951101,0.905283,0.821955
0.86,0.000497441,0.94093,0.886334,0.788919
0.88,8.0957e-05,0.929507,0.865325,0.75317
0.9,0.00042209,0.914851,0.83888,0.709723
0.92,0.000129414,0.897544,0.808427,0.66183
0.94,0.000284453,0.871383,0.764436,0.597474
0.96,-0.000379473,0.836343,0.70861,0.522143
0.98,0.000932852,0.775,0.620192,0.419126
1,0.0011217,0.6934,0.51332,0.310653
1.02,-0.00136695,0.578475,0.379037,0.194879
1.04,3.20898e-05,0.464091,0.258409,0.106506
1.06,-0.000848574,0.382582,0.181356,0.058641
1.08,0.00168297,0.324253,0.132974,0.034081
1.1,0.00130082,0.276148,0.0970564,0.018962
1.12,-7.51953e-05,0.250171,0.0795636,0.0127803
1.14,0.00107389,0.228258,0.0662563,0.00893861
1.16,0.00107582,0.207037,0.0546837,0.00616536
1.18,-0.000631777,0.194475,0.0480814,0.00472762
1.2,0.00117906,0.186086,0.0438495,0.00385126
1.22,-0.0010233,0.175876,0.0394666,0.00320748
1.24,0.00035002,0.16681,0.0355371,0.00258587
1.26,4.61523e-05,0.161474,0.0331568,0.00223753
1.28,-0.00186799,0.153276,0.0297788,0.0017649
1.3,-0.000372559,0.149232,0.0283202,0.0016151
1.32,-0.000692188,0.144812,0.0265417,0.00139388
1.34,9.35547e-06,0.139534,0.0247552,0.00123078
1.36,0.00125459,0.13583,0.0234411,0.00110654
1.38,0.00053582,0.132167,0.0221456,0.000973851
1.4,0.000508047,0.126143,0.0203016,0.000839767
1.42,-0.00130666,0.126314,0.0201662,0.000800775
1.44,0.000708555,0.12194,0.0189062,0.000711988
1.46,0.000503535,0.121187,0.0185595,0.000680991
1.48,0.00187773,0.117582,0.0176507,0.000632671
1.5,0.00010293,0.114568,0.0167286,0.000560837
1.52,-0.00143164,0.11393,0.0165207,0.000548166
1.54,-0.00115443,0.111785,0.0157994,0.000492882
1.56,-7.54297e-05,0.110325,0.0155089,0.000487203
1.58,-0.000718262,0.109423,0.0152162,0.000462342
1.6,-0.00146398,0.108036,0.0148203,0.00043362
1.62,-0.000150371,0.104913,0.0140087,0.000393715
1.64,0.00276232,0.103446,0.0136266,0.00036884
1.66,-0.00167791,0.10214,0.0132754,0.000354723
1.68,0.00155576,0.100651,0.0129162,0.000334099
1.7,0.00107576,0.101346,0.0129495,0.000325888
1.72,0.000604492,0.0991565,0.0124542,0.000307231
1.74,0.00111965,0.0991668,0.0124633,0.000309798
1.76,0.00274703,0.0981636,0.012233,0.000298388
1.78,0.00176611,0.0970324,0.0119605,0.000282888
1.8,0.00108062,0.0951934,0.0114658,0.000259051
1.82,0.00152078,0.0938039,0.0111683,0.000246672
1.84,-0.000298848,0.0945182,0.0113529,0.000256511
1.86,0.00174227,0.0930952,0.0110258,0.000246289
1.88,2.14844e-06,0.0917631,0.0106696,0.000225297
1.9,-0.00138816,0.091786,0.010732,0.000231176
1.92,-0.000357734,0.0900275,0.0103533,0.000216575
1.94,0.00153637,0.0889603,0.0100342,0.000198151
1.96,-0.00346777,0.0896896,0.0102151,0.000206775
1.98,0.00227986,0.0883502,0.00995421,0.000197987
2,0.000783145,0.0904517,0.0103418,0.000210229
